Pilote,GP,Saison,Réalité,Prédiction
Sebastian VETTEL,Bahreïn,2017,16.49057649667406,16.584764608352945
Alexander ALBON,Canada,2019,16.55423068103646,16.64548122125419
Marcus ERICSSON,Mexique,2015,18.94609665427509,19.04206853748776
Max VERSTAPPEN,Grande-Bretagne,2017,14.96010864029876,14.91203256750302
Charles LECLERC,Espagne,2024,15.402834442774317,15.592829285886777
Jolyon PALMER,Autriche,2017,15.364752200092637,15.345616476996858
Fernando ALONSO,Japon,2024,15.235526541831302,15.39698724499086
Carlos SAINZ,Italie,2017,17.00776799585707,16.980188891477585
Pastor MALDONADO,Russie,2015,17.067544459644324,16.897721339791975
Pierre GASLY,Hongrie,2019,17.22209541200639,17.161598229762596
Nicholas LATIFI,Pays-Bas,2021,16.708382249354308,16.782638341528717
Sergio PEREZ,Espagne,2017,17.408202705604467,17.365938548639903
Jenson BUTTON,Hongrie,2015,19.342387582743665,19.038544379097154
Carlos SAINZ,France,2018,15.718478075413753,15.786107736572605
Esteban OCON,Canada,2017,16.770236184361387,16.867266754378477
Pierre GASLY,Italie,2019,14.003970308993612,13.91226227103953
Sebastian VETTEL,Allemagne,2018,15.568867512024488,15.900594949350797
Robert KUBICA,Italie,2019,14.216468151216985,14.197515393713083
Carlos SAINZ,Las Vegas,2024,14.902435091114336,14.968533544390711
Valtteri BOTTAS,Australie,2023,14.913603637741566,14.832774521503572
Daniil KVYAT,Abou Dhabi,2016,19.31509183866692,19.271079434580464
Brendon HARTLEY,Azerbaïdjan,2018,19.549225387306347,17.162929245092666
Lando NORRIS,Belgique,2022,15.159623072529984,15.04856143561029
Lance STROLL,Azerbaïdjan,2023,16.92670331500916,17.3599294473472
Fernando ALONSO,Arabie saoudite,2023,14.37155814706835,14.501305811320936
Guanyu ZHOU,Mexico City,2022,18.465613382899626,18.445503683500093
Daniil KVYAT,Chine,2017,17.192992111539166,17.212094515706635
George RUSSELL,Italie,2019,14.120490246849645,14.063799525295908
Daniel RICCIARDO,Bahreïn,2022,17.173872875092385,16.913908190292407
Liam LAWSON,Las Vegas,2024,15.200290275761976,14.992178346310057
Charles LECLERC,Bahreïn,2019,16.23540280857354,16.37925448181602
Nico HULKENBERG,Canada,2018,16.503783535886264,16.600977512251514
Yuki TSUNODA,Canada,2022,22.145150194909426,20.03157536622529
Lando NORRIS,Émilie-Romagne,2024,15.244856386229376,15.388341447377053
Liam LAWSON,Qatar,2023,16.10315985130112,15.830657228568942
Daniel RICCIARDO,Autriche,2021,14.988188976377952,15.295795251569416
Yuki TSUNODA,Italie,2022,14.256343863283274,14.253247239657927
Alexander ALBON,Singapour,2024,18.314574898785423,18.341479441102233
Carlos SAINZ,Émilie-Romagne,2020,15.25993073945814,15.247193280326254
Lando NORRIS,Azerbaïdjan,2022,17.22438780609695,17.130438815826
Antonio GIOVINAZZI,France,2019,15.939259512028665,15.650903328012346
Fernando ALONSO,São Paulo,2022,16.82617776746345,16.847492816228797
Daniel RICCIARDO,Hongrie,2024,17.449669025336682,17.486866421433117
Guanyu ZHOU,Italie,2022,14.254617641981701,14.281332643375993
Max VERSTAPPEN,Etats-Unis,2018,17.188826410302923,16.899509892458198
Oliver BEARMAN,Azerbaïdjan,2024,17.152756954855906,17.1239107520702
Alexander ALBON,Mexico City,2024,17.905436802973977,18.06355706760989
Nico HULKENBERG,Brésil,2019,15.994662334648408,15.98176861102599
Daniel RICCIARDO,Australie,2019,15.64418340280409,15.596515241787078
Pierre GASLY,Mexico City,2021,17.763940520446095,18.196306639435146
Valtteri BOTTAS,Émilie-Romagne,2020,14.994703605622325,15.11419911886252
Yuki TSUNODA,Arabie saoudite,2021,14.324910916747651,14.476221089659527
Valtteri BOTTAS,Etats-Unis,2015,21.827317250136044,21.565035708900176
Daniel RICCIARDO,Chine,2016,17.59622087690332,17.642714180497386
Nicholas LATIFI,Italie,2020,14.106162610046608,14.095618599844478
Sergio PEREZ,Canada,2017,16.74340747534969,16.834320665582027
Lance STROLL,Styrie,2021,14.985641500694767,15.049599435273723
