Pilote,GP,Saison,Réalité,Prédiction
George RUSSELL,Miami,2024,16.27855822550832,16.220263002675097
Stoffel VANDOORNE,Bahreïn,2016,16.987065779748708,17.190158615951393
Pierre GASLY,Allemagne,2018,16.123524267599475,16.12229571356233
Romain GROSJEAN,Australie,2019,15.503220917014017,15.635768301979267
Kimi RAIKKONEN,Australie,2019,15.595680181887076,15.673284304951434
Sergio PEREZ,Japon,2023,15.401133825803129,15.33632821103066
Sebastian VETTEL,Etats-Unis,2019,16.695265735534193,16.800215770987368
Lance STROLL,Etats-Unis,2024,17.006892798839107,17.10696341441898
George RUSSELL,Belgique,2020,14.772701313535125,14.797580427764634
Lando NORRIS,Singapour,2022,22.385425101214572,22.9839181557185
Valtteri BOTTAS,Monaco,2018,21.408750374587953,21.240415482046934
Max VERSTAPPEN,Grande-Bretagne,2019,14.475640808012221,14.544608110656064
Lewis HAMILTON,Brésil,2015,16.56068693432351,16.58532055316315
Guanyu ZHOU,Arabie saoudite,2023,14.48995788791707,14.675033367151897
Antonio GIOVINAZZI,Abou Dhabi,2020,18.604052262829008,18.47148295657194
Pierre GASLY,Émilie-Romagne,2024,15.559380729272766,15.441145770936359
Charles LECLERC,Japon,2019,14.989348909122144,15.099784040813027
Carlos SAINZ,Allemagne,2018,15.892435505028423,16.113587135095038
Daniil KVYAT,Espagne,2020,16.575477775391885,16.694824984221427
Charles LECLERC,Monaco,2022,21.38927180101888,21.45491303635856
Fernando ALONSO,Mexico City,2024,17.929368029739777,17.966908902898606
Nico HULKENBERG,Abou Dhabi,2016,19.030676008331756,19.099618234451576
Sergio PEREZ,Russie,2021,18.0124829001368,17.859514673321314
Max VERSTAPPEN,Espagne,2024,15.332402834442776,15.43160208828314
Sebastian VETTEL,Grande-Bretagne,2018,14.58767611610932,14.630559247083786
Jenson BUTTON,Italie,2016,14.396513032970827,14.383502911926355
Daniel RICCIARDO,Belgique,2017,14.829097658480869,15.01994974098556
Lewis HAMILTON,Azerbaïdjan,2019,16.75062468765617,16.818051527505233
Felipe MASSA,Hongrie,2016,23.738644145172334,19.286483042313527
Carlos SAINZ,Arabie saoudite,2022,14.318432134758664,14.76629538620437
Max VERSTAPPEN,France,2018,15.476027981573111,15.526065803264734
Yuki TSUNODA,Mexico City,2024,17.920306691449813,17.980166937951605
Max VERSTAPPEN,Qatar,2023,15.572118959107806,15.548075889462451
Daniel RICCIARDO,Etats-Unis,2021,17.015780881552693,17.376449815011373
Carlos SAINZ,France,2019,15.27418529261218,15.467660488632916
Fernando ALONSO,Singapour,2024,18.261943319838053,18.30695036326361
Marcus ERICSSON,Belgique,2018,14.891633352370075,15.780022777644216
Carlos SAINZ,France,2022,15.83176932264119,15.612362382702
Valtteri BOTTAS,Émilie-Romagne,2024,15.609289060908537,15.84202889972829
George RUSSELL,Émilie-Romagne,2024,15.325728254226929,15.336187838425912
Kimi RAIKKONEN,Malaisie,2015,18.432798123759696,19.38634731750831
Sergio PEREZ,Pays-Bas,2023,16.87720122094388,17.956849702710674
Lance STROLL,Arabie saoudite,2022,14.740686750890832,14.675319877977023
Mick SCHUMACHER,Etats-Unis,2022,17.61491021222565,17.571552896216552
Esteban OCON,Autriche,2021,15.065076424270497,15.020447904343603
Nikita MAZEPIN,Azerbaïdjan,2021,17.36431784107946,17.309440242170275
Valtteri BOTTAS,Arabie saoudite,2024,14.444282474894719,14.393152708455828
Sergio PEREZ,Grande-Bretagne,2017,15.091156000679002,15.241142873066321
Fernando ALONSO,Abou Dhabi,2022,16.11361484567317,16.123923564042887
Carlos SAINZ,Mexique,2016,18.675185873605948,18.72186735090882
Lance STROLL,Italie,2017,16.74987053340238,16.525504032823434
Esteban GUTIERREZ,Brésil,2016,16.809236481782314,16.828949979304987
Stoffel VANDOORNE,Bahreïn,2018,16.72671840354767,16.626744991987152
Nico HULKENBERG,Hongrie,2017,17.68272083999087,17.83561105572085
Brendon HARTLEY,Mexique,2018,17.933085501858734,17.94899032275684
Nico HULKENBERG,Etats-Unis,2015,21.6457464175585,21.298594355711696
Kevin MAGNUSSEN,Etats-Unis,2024,16.956466533647742,17.09251819305312
Carlos SAINZ,Autriche,2020,14.814960629921263,15.070185134672453
Robert KUBICA,Russie,2019,16.496922024623803,16.342960138583386
